day,flowQuantity_delta
2025-02-01,4151.433
2025-02-02,3502.806
2025-02-03,3559.429
2025-02-04,3414.983
2025-02-05,3410.163
2025-02-06,3009.521
2025-02-07,3001.566
2025-02-08,3312.62
2025-02-09,3887.758
2025-02-10,3381.672
2025-02-11,3363.635
2025-02-12,2758.837
2025-02-13,3301.207
2025-02-14,2703.61
2025-02-15,3434.253
2025-02-16,4100.489
2025-02-17,4270.726
2025-02-18,3414.961
2025-02-19,4773.951
2025-02-20,3203.242
2025-02-21,3097.866
2025-02-22,4373.919
2025-02-23,3514.919
2025-02-24,3168.4
2025-02-25,3365.531
2025-02-26,2981.717
2025-02-27,3133.263
2025-02-28,3119.95
